,region,scenario,input,Year,value
227,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",hydrogen,2080,0.6467071839
228,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",hydrogen,2085,0.7759514995
229,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",hydrogen,2090,0.9424595226
230,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",hydrogen,2095,1.1793816744000005
231,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",hydrogen,2100,1.4902525328000005
232,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",j traditional biomass,2005,0.344717
233,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",j traditional biomass,2010,0.3045737
234,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",j traditional biomass,2015,0.2651408
235,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",j traditional biomass,2020,0.2516415
236,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",j traditional biomass,2025,0.2000477
237,Brazil,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",j traditional biomass,2030,0.1582835
